Season,Name,ERA,K9,BB9,HR9
2015,Clayton Kershaw,2.13,11.64,1.62,0.58
2011,Roy Halladay,2.35,8.47,1.35,0.39
2017,Chris Sale,2.9,12.93,1.81,1.01
2014,Clayton Kershaw,1.77,10.85,1.41,0.41
2014,Corey Kluber,2.44,10.27,1.95,0.53
2015,Jake Arrieta,1.77,9.28,1.89,0.39
2017,Corey Kluber,2.25,11.71,1.59,0.93
2011,Clayton Kershaw,2.28,9.57,2.08,0.58
2013,Clayton Kershaw,1.83,8.85,1.98,0.42
2010,Cliff Lee,3.18,7.84,0.76,0.68
2012,Justin Verlander,2.64,9.03,2.27,0.72
2011,Cliff Lee,2.4,9.21,1.62,0.7
2013,Adam Wainwright,2.94,8.16,1.3,0.56
2013,Matt Harvey,2.27,9.64,1.56,0.35
2015,David Price,2.45,9.19,1.92,0.69
2011,Justin Verlander,2.4,8.96,2.04,0.86
2016,Noah Syndergaard,2.6,10.68,2.11,0.54
2015,Max Scherzer,2.79,10.86,1.34,1.06
2011,CC Sabathia,3,8.72,2.31,0.64
2010,Justin Verlander,3.37,8.79,2.85,0.56
2016,Jose Fernandez,2.86,12.49,2.71,0.64
2012,Felix Hernandez,3.06,8.65,2.17,0.54
2011,Dan Haren,3.17,7.25,1.25,0.76
2015,Chris Sale,3.41,11.82,1.81,0.99
2014,Felix Hernandez,2.14,9.46,1.75,0.61
2010,Roy Halladay,2.44,7.86,1.08,0.86
2013,Max Scherzer,2.9,10.08,2.35,0.76
2014,David Price,3.26,9.82,1.38,0.91
2017,Max Scherzer,2.51,12.02,2.47,0.99
2013,Anibal Sanchez,2.57,9.99,2.67,0.45
2010,Felix Hernandez,2.27,8.36,2.52,0.61
2015,Dallas Keuchel,2.48,8.38,1.98,0.66
2014,Phil Hughes,3.52,7.98,0.69,0.69
2010,Josh Johnson,2.3,9.11,2.35,0.34
2010,Jered Weaver,3.01,9.35,2.17,0.92
2010,Ubaldo Jimenez,2.88,8.69,3.74,0.41
2012,Clayton Kershaw,2.53,9.05,2.49,0.63
2015,Zack Greinke,1.66,8.08,1.62,0.57
2013,Felix Hernandez,3.04,9.51,2.03,0.66
2017,Luis Severino,2.98,10.71,2.37,0.98
2010,Francisco Liriano,3.62,9.44,2.72,0.42
2011,Jered Weaver,2.41,7.56,2.14,0.76
2010,Adam Wainwright,2.42,8.32,2.19,0.59
2016,Max Scherzer,2.96,11.19,2.21,1.22
2014,Jon Lester,2.46,9.01,1.97,0.66
2015,Corey Kluber,3.49,9.93,1.82,0.89
2017,Stephen Strasburg,2.52,10.47,2.41,0.67
2015,Gerrit Cole,2.6,8.74,1.9,0.48
2017,Carlos Carrasco,3.29,10.17,2.07,0.95
2016,Johnny Cueto,2.79,8.11,1.84,0.61
2013,Cliff Lee,2.87,8.97,1.29,0.89
2014,Jordan Zimmermann,2.66,8.2,1.31,0.59
2016,Justin Verlander,3.04,10.04,2.25,1.19
2014,Max Scherzer,3.15,10.29,2.57,0.74
2015,Chris Archer,3.23,10.7,2.8,0.81
2015,Madison Bumgarner,2.93,9.65,1.61,0.87
2014,Chris Sale,2.17,10.76,2.02,0.67
2015,Jacob deGrom,2.54,9.66,1.79,0.75
2016,Rick Porcello,3.15,7.63,1.29,0.93
2011,Doug Fister,2.83,6.07,1.54,0.46
2010,CC Sabathia,3.18,7.46,2.8,0.76
2016,Chris Sale,3.34,9.25,1.79,1.07
2017,Zack Greinke,3.2,9.56,2,1.11
2014,Jose Quintana,3.32,8,2.34,0.45
2012,David Price,2.56,8.74,2.52,0.68
2016,Corey Kluber,3.14,9.5,2.39,0.92
2012,Cliff Lee,3.16,8.83,1.19,1.11
2011,Matt Cain,2.88,7.27,2.56,0.37
2015,Jon Lester,3.34,9.09,2.06,0.7
2012,R.A. Dickey,2.73,8.86,2.08,0.92
2012,Gio Gonzalez,2.89,9.35,3.43,0.41
2012,Zack Greinke,3.48,8.48,2.29,0.76
2017,Jimmy Nelson,3.49,10.21,2.46,0.82
2016,Madison Bumgarner,2.74,9.97,2.14,1.03
2011,Madison Bumgarner,3.21,8.4,2.02,0.53
